OPUS Miner: Filtered Top-k Association Discovery of Self-Sufficient Itemsets
Version 1.2
Copyright (C) 2012-2016 Geoffrey I Webb
This program comes with ABSOLUTELY NO WARRANTY. This is free software, 
and you are welcome to redistribute it under certain conditions.
See the GNU General Public Licence <http://www.gnu.org/licenses/> for details.

If you publish results obtained by using this software please cite
  Webb, G.I. & Vreeken, J. (2014) Efficient Discovery of the Most Interesting Associations.
  ACM Transactions on Knowledge Discovery from Data. 8(3), Art. no. 15.

  -c
  -k 100
  -s EDIBLE
  Mushroom.txt
  Output.csv

Mushroom.txt: 118 items, 8416 transactions
Found 100 non-redundant productive itemsets in 214896 seconds

SELF-SUFFICIENT ITEMSETS:
EDIBLE/field6 = NONE,3688,0.196923,0.00000
EDIBLE/field9 = BROAD,4176,0.123618,0.00000
EDIBLE/field20 = PENDANT,3152,0.123097,0.00000
EDIBLE/field5 = BRUISES/field13 = SMOOTH,2752,0.120448,0.00000
EDIBLE/field20 = PENDANT/field13 = SMOOTH,2992,0.118943,0.00000
EDIBLE/field9 = BROAD/field20 = PENDANT,2960,0.117762,0.00000
EDIBLE/field9 = BROAD/field5 = BRUISES,2656,0.116544,0.00000
EDIBLE/field5 = BRUISES,2752,0.113080,0.00000
EDIBLE/field13 = SMOOTH,3780,0.112302,0.00000
EDIBLE/field20 = PENDANT/field13 = SMOOTH/field14 = SMOOTH,2728,0.109721,0.00000
EDIBLE/field13 = SMOOTH/field14 = SMOOTH,3194,0.108620,0.00000
EDIBLE/field5 = BRUISES/field14 = SMOOTH,2560,0.106959,0.00000
EDIBLE/field20 = PENDANT/field14 = SMOOTH,2800,0.106810,0.00000
EDIBLE/field6 = NONE/field9 = BROAD,3472,0.106382,0.00000
EDIBLE/field9 = BROAD/field13 = SMOOTH,3504,0.102925,0.00000
EDIBLE/field20 = PENDANT/field5 = BRUISES,2560,0.102432,0.00000
EDIBLE/field14 = SMOOTH,3540,0.098993,0.00000
EDIBLE/field20 = PENDANT/field5 = BRUISES/field14 = SMOOTH,2368,0.097905,0.00000
EDIBLE/field21 = BROWN,1872,0.089623,0.00000
EDIBLE/field9 = BROAD/field21 = BROWN,1776,0.087449,4.90000e-324
EDIBLE/field9 = BROAD/field21 = BLACK,1728,0.087405,0.00000
field6 = NONE/EDIBLE/field13 = SMOOTH/field14 = SMOOTH,2586,0.087228,1.48184e-233
field9 = BROAD/EDIBLE/field20 = PENDANT/field13 = SMOOTH,2800,0.084313,2.64100e-318
EDIBLE/field21 = BLACK,1776,0.084299,0.00000
EDIBLE/field6 = NONE/field14 = SMOOTH,2932,0.084082,1.22322e-230
field9 = BROAD/EDIBLE/field20 = PENDANT/field5 = BRUISES,2464,0.080253,0.00000
field6 = NONE/EDIBLE/field20 = PENDANT/field14 = SMOOTH,2192,0.079673,5.87220e-199
field6 = NONE/EDIBLE/field20 = PENDANT/field13 = SMOOTH/field14 = SMOOTH,2120,0.078615,3.72749e-196
EDIBLE/field6 = NONE/field13 = SMOOTH,2980,0.077289,4.46720e-201
EDIBLE/field6 = NONE/field8 = CROWDED,1384,0.075739,0.00000
EDIBLE/field8 = CROWDED/field15 = WHITE,1480,0.075487,0.00000
EDIBLE/field13 = SMOOTH/field21 = BROWN,1616,0.075426,3.64005e-263
EDIBLE/field8 = CROWDED,1480,0.074980,0.00000
EDIBLE/field6 = NONE/field11 = TAPERING,2752,0.073732,2.79613e-172
field6 = NONE/EDIBLE/field9 = BROAD/field20 = PENDANT,2256,0.073552,3.53368e-168
EDIBLE/field6 = NONE/field20 = PENDANT,2352,0.072858,1.72016e-162
EDIBLE/field16 = WHITE/field23 = GRASSES,1664,0.072765,4.62711e-238
EDIBLE/field15 = WHITE/field23 = GRASSES,1664,0.072765,4.62711e-238
EDIBLE/field8 = CROWDED/field23 = GRASSES,1312,0.072760,0.00000
field6 = NONE/EDIBLE/field9 = BROAD/field13 = SMOOTH,2800,0.072112,1.02155e-178
EDIBLE/field8 = CROWDED/field16 = WHITE,1408,0.070346,4.49937e-302
EDIBLE/field14 = SMOOTH/field21 = BROWN,1520,0.070102,1.90975e-234
EDIBLE/field13 = SMOOTH/field21 = BLACK,1520,0.070102,3.29269e-230
field6 = NONE/EDIBLE/field20 = PENDANT/field13 = SMOOTH,2192,0.069675,3.31230e-150
EDIBLE/field6 = NONE/field3 = FIBROUS,1652,0.068203,3.99950e-170
field9 = BROAD/field6 = NONE/EDIBLE/field20 = PENDANT/field13 = SMOOTH,2096,0.067077,2.84446e-151
field6 = NONE/EDIBLE/field9 = BROAD/field5 = BRUISES,1952,0.066450,2.91750e-141
EDIBLE/field6 = NONE/field21 = BROWN,1472,0.065768,2.56432e-175
field6 = NONE/EDIBLE/field8 = CROWDED/field16 = WHITE,1312,0.065228,8.30605e-281
EDIBLE/field6 = NONE/field21 = BLACK,1424,0.065063,2.56793e-177
EDIBLE/field14 = SMOOTH/field21 = BLACK,1424,0.064778,2.58265e-201
EDIBLE/field9 = BROAD/field8 = CROWDED,1312,0.062031,3.79159e-198
EDIBLE/field5 = BRUISES/field21 = BROWN,1264,0.061988,7.08006e-203
EDIBLE/field6 = NONE/field12 = EQUAL,1120,0.061433,1.57481e-214
EDIBLE/field20 = PENDANT/field21 = BROWN,1360,0.061229,8.44819e-193
EDIBLE/field15 = WHITE/field16 = WHITE,2528,0.061118,1.23978e-114
EDIBLE/field6 = NONE/field9 = BROAD/field3 = FIBROUS,1520,0.060021,9.59762e-133
EDIBLE/field15 = WHITE,3032,0.059668,0.00000
EDIBLE/field5 = BRUISES/field21 = BLACK,1216,0.059326,4.28821e-197
field5 = BRUISES/EDIBLE/field14 = SMOOTH/field21 = BROWN,1168,0.058437,1.48636e-153
field20 = PENDANT/EDIBLE/field14 = SMOOTH/field21 = BROWN,1264,0.058426,4.56321e-150
EDIBLE/field16 = WHITE,2960,0.057703,0.00000
field5 = BRUISES/EDIBLE/field14 = SMOOTH/field21 = BLACK,1120,0.056854,8.52925e-151
EDIBLE/field8 = CROWDED/field12 = EQUAL,1024,0.056788,3.48383e-307
EDIBLE/field6 = NONE/field5 = BRUISES,1952,0.056154,5.59499e-100
EDIBLE/field20 = PENDANT/field21 = BLACK,1264,0.055905,1.36479e-159
EDIBLE/field9 = BROAD/field23 = GRASSES,1664,0.053503,2.10519e-112
field20 = PENDANT/EDIBLE/field14 = SMOOTH/field21 = BLACK,1168,0.051725,2.98204e-122
field13 = SMOOTH/EDIBLE/field14 = SMOOTH/field21 = BROWN,1392,0.051317,1.97503e-128
EDIBLE/field12 = EQUAL/field23 = GRASSES,1024,0.048678,1.30154e-169
EDIBLE/field10 = BROWN,1000,0.048361,2.64580e-299
